Hill Climbing First Choice	Hill Climbing Steepest Ascent	Hill Climbing Random Restart	Simulated Anealling	Optimized Algorithm
NA	NA	139	7696	10
NA	NA	157	10959	10
NA	NA	1361	252412	16
NA	NA	939	331560	14
NA	NA	314	422255	12
NA	NA	2953	225249	12
NA	NA	319	185199	18
NA	NA	109	366990	20
NA	NA	671	142752	12
NA	NA	26	144679	12
NA	NA	2342	169261	16
NA	NA	511	24135	12
NA	NA	82	166255	20
NA	NA	129	51154	12
NA	NA	1640	113446	26
NA	NA	1659	59092	16
NA	NA	329	54271	18
NA	NA	1539	38705	12
NA	NA	454	36454	12
NA	NA	3274	1818	12
NA	NA	905	307104	12
NA	NA	1004	70453	16
NA	NA	1278	12679	18
NA	NA	514	109606	18
NA	NA	1867	31358	20
NA	NA	745	317694	16
NA	NA	678	107458	16
NA	NA	403	424129	14
NA	NA	4143	123389	20
NA	NA	1806	1031	16
NA	NA	245	11876	10
NA	NA	158	78042	16
NA	NA	349	362721	16
NA	NA	368	201318	26
NA	NA	1247	202108	18
NA	NA	635	240511	14
NA	NA	4581	95540	14
NA	NA	375	29357	8
NA	NA	1751	116752	24
NA	NA	388	18674	18
NA	NA	333	248544	12
NA	NA	1671	109442	20
NA	NA	150	446977	18
NA	NA	1042	235486	10
NA	NA	141	410430	18
NA	NA	705	238699	26
NA	NA	77	95236	18
NA	NA	519	34958	20
NA	NA	587	178601	14
NA	NA	752	319882	14
NA	NA	1043	312422	18
NA	NA	2158	89596	14
NA	NA	587	11444	12
NA	NA	614	92333	18
NA	NA	1778	465451	18
NA	NA	2674	80121	16
NA	NA	279	133045	16
NA	NA	2842	126789	18
NA	NA	5427	7130	12
NA	NA	1718	3766	24
NA	NA	641	335717	16
NA	NA	746	225677	18
NA	NA	449	44690	14
NA	NA	623	144294	20
NA	NA	1105	457868	16
NA	NA	854	299874	12
NA	NA	682	148986	10
NA	NA	482	439799	20
NA	NA	1031	183166	12
NA	NA	1240	118386	10
NA	NA	2096	10186	10
NA	NA	352	47693	16
NA	NA	20	305617	14
NA	NA	2859	194345	20
NA	NA	68	265850	16
NA	NA	555	90729	24
NA	NA	44	10608	18
NA	NA	884	244625	18
NA	NA	1617	65553	12
NA	NA	783	254001	14
NA	NA	238	195704	26
NA	NA	387	537227	24
NA	NA	2285	146917	14
NA	NA	380	2145	14
NA	NA	195	174170	10
NA	NA	1882	72340	14
NA	NA	523	295828	12
NA	NA	305	417045	16
NA	NA	388	113307	16
NA	NA	1165	271599	22
NA	NA	45	330283	22
NA	NA	3523	79731	10
NA	NA	237	18466	12
NA	NA	154	23674	12
NA	NA	40	9814	12
NA	NA	373	469743	14
NA	NA	18	3411	16
NA	NA	337	396562	30
NA	NA	923	454321	12
NA	NA	642	470183	22
Percentage of  problems solved				
0	0	100	100	
Average cost to solve problem				
NaN	NaN	986.55	176766.28	
